,(1),(2),(3),(4)
,post_writ,,,
treat,0.06,0.21,0.16,0.17
,[0.04],[0.12]*,[0.08]*,[0.09]**
Observations,1760,1760,1760,1760
R-squared,0.19,0.32,0.39,0.42
Robust standard errors in brackets,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,
