,(1),(2),(3),(4)
,mid_writ,,,
treat,0.02,0.11,0.13,0.13
,[0.04],[0.09],[0.07]*,[0.07]*
Observations,983,983,983,983
R-squared,0.34,0.42,0.61,0.59
Robust standard errors in brackets,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,
