,(1),(2),(3),(4)
,attendance,,,
treat,0.14,,0.10,
,[0.03]***,,[0.06]*,
treatpre,,0.11,,0.07
,,[0.03]***,,[0.07]
treatpost,,0.14,,0.07
,,[0.05]***,,[0.06]
treatexp,,0.15,,0.11
Observations,29113,29113,4408,4408
R-squared,0.02,0.05,0.01,0.09
Robust standard errors in brackets,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,
,,[0.04]***,,
,,,,[0.07]
