,(1),(2),(3),(4)
,mid_writ,,,
treat,0.04,0.13,0.14,0.14
,[0.03],[0.07]*,[0.06]**,[0.06]**
Observations,1752,1752,1752,1752
R-squared,0.35,0.43,0.60,0.60
Robust standard errors in brackets,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,
