,(1),(2),(3),(4),(5),(6),(7),(8)
,post_writ,,,,,,,
(mean) open,0.31,0.58,0.51,1.17,0.33,0.97,,
,[0.15]**,[0.35],[0.15]***,[0.36]***,[0.22],[0.47]**,,
days,,,,,,,0.59,0.98
Observations,883,883,877,877,1760,1760,877,877
R-squared,0.20,0.40,0.31,0.50,0.20,0.44,0.30,0.48
Robust standard errors in brackets,,,,,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,,,,,
,,,,,,,[0.20]***,
,,,,,,,,[0.52]*
