,(1),(2),(3),(4)
,post_writ,,,
treat,0.04,0.16,0.11,0.12
,[0.05],[0.15],[0.11],[0.11]
Constant,0.57,-0.24,1.60,0.24
,[0.03]***,[0.10]**,[0.07]***,[0.07]***
Observations,1769,1769,1769,1769
R-squared,0.00,0.00,0.00,0.00
Robust standard errors in brackets,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,
