,(1),(2),(3),(4)
,post_writ,,,
treat,0.07,0.22,0.13,0.17
,[0.05],[0.12]*,[0.08],[0.09]*
Observations,811,811,811,811
R-squared,0.13,0.28,0.34,0.34
Robust standard errors in brackets,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,
