,(1),(2),(3),(4)
,mid_writ,,,
treat,0.07,0.18,0.18,0.19
,[0.03]**,[0.07]**,[0.07]**,[0.07]***
Observations,876,876,876,876
R-squared,0.35,0.42,0.56,0.52
Robust standard errors in brackets,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,
