,(1),(2)
,worked,
first4,0.19,0.12
,[0.05]***,[0.06]**
inthemoney,0.52,0.37
,[0.04]***,[0.05]***
first4_inthemoney,-0.19,-0.12
,[0.06]***,[0.06]*
Constant,0.16,0.06
,[0.04]***,[0.12]
Observations,2813,2813
R-squared,0.06,0.22
* significant at 10%; ** significant at 5%; *** significant at 1%,,
Standard errors in brackets,,
Robust standard errors in brackets,,
