,(1),(2),(3)
,z_add_post_math,,
treat,0.20,0.13,0.16
,[0.14],[0.09],[0.10]
Observations,1454,1454,1454
R-squared,0.08,0.22,0.21
Robust standard errors in brackets,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,
