,(1),(2),(3)
,z_add_post_math,,
treat,0.28,0.28,0.25
,[0.18],[0.11]**,[0.12]**
Observations,306,306,306
R-squared,0.22,0.15,0.26
Robust standard errors in brackets,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,
